,City,Latitude,Longitude,Temperature (F),Humidity,Clouds,Wind Speed (mph)
86,nikolskoye,59.7,30.79,56.17,87,20,4.47
87,ambilobe,-13.2,49.05,68.88,70,0,4.18
88,cidreira,-30.18,-50.21,59.77,75,0,9.28
89,ternate,0.8,127.4,81.95,77,57,5.73
90,tarauaca,-8.16,-70.77,69.93,64,96,1.19
91,bella vista,36.43,-94.23,69.31,73,1,1.63
92,xichang,27.9,102.26,81.64,58,24,1.03
93,antioch,36.21,36.16,80.6,78,16,13.87
94,najran,17.49,44.13,80.6,57,40,5.82
95,agirish,61.92,63.02,66.65,55,33,8.21
96,mataura,-46.19,168.86,53.49,84,100,2.73
97,katsuura,35.13,140.3,86.25,70,75,5.82
98,shalinskoye,55.72,93.76,61.2,80,97,5.28
99,barrow,71.29,-156.79,37.4,72,90,10.29
100,sorong,-0.88,131.25,84.97,70,81,9.42
101,kingston,18.0,-76.79,81.97,79,20,13.87
102,ketchikan,55.34,-131.65,60.8,87,90,11.41
103,kapaa,22.08,-159.32,78.76,78,40,12.75
104,mbigou,-1.9,11.91,65.57,92,99,4.45
105,yakeshi,49.28,120.73,87.17,39,31,19.44
106,hilo,19.73,-155.09,71.53,61,90,6.93
107,whitehorse,60.72,-135.05,66.81,34,75,19.46
108,bonthe,7.53,-12.51,74.79,92,99,12.12
109,bara,10.37,10.73,72.48,93,94,6.87
110,lompoc,34.64,-120.46,60.64,82,0,9.17
111,port blair,11.67,92.75,83.61,79,100,23.17
112,bredasdorp,-34.53,20.04,42.8,93,0,1.12
113,thinadhoo,0.53,72.93,82.54,78,55,10.92
114,koumac,-20.57,164.28,70.57,63,0,17.76
115,faanui,-16.48,-151.75,78.26,82,0,12.93
116,xam nua,20.42,104.04,69.57,95,100,4.76
117,east london,-33.02,27.91,58.8,35,0,7.02
118,sao filipe,14.9,-24.5,77.56,84,0,4.12
119,deputatskiy,69.3,139.9,63.37,47,8,6.13
120,chuy,-33.7,-53.46,52.38,91,83,7.23
121,sitka,57.05,-135.33,62.6,72,90,17.22
122,forio,40.73,13.86,78.42,77,0,1.99
123,russkaya polyana,49.42,31.92,55.6,89,33,8.28
124,san felipe,10.34,-68.74,72.84,82,100,4.65
125,arraial do cabo,-22.97,-42.03,68.85,74,4,11.25
126,margate,51.38,1.39,63.99,59,11,4.0
127,aklavik,68.22,-135.01,57.2,82,75,12.75
128,lokosovo,61.13,74.82,71.28,67,86,4.97
129,paita,-5.09,-81.11,61.97,86,0,13.71
130,cravo norte,6.3,-70.2,75.67,85,46,5.12
131,motygino,58.18,94.76,75.92,56,93,2.21
132,west wendover,40.74,-114.07,89.6,17,1,5.82
133,adrar,20.5,-10.07,93.76,11,0,7.96
134,melfi,41.0,15.65,75.94,78,5,11.41
135,kibaya,-5.3,36.57,48.33,95,12,2.71
136,iqaluit,63.75,-68.51,55.4,82,75,4.7
137,lavrentiya,65.58,-171.0,45.03,70,97,15.01
138,morondava,-20.28,44.28,69.62,53,0,12.84
139,vaini,-21.2,-175.2,75.2,73,75,9.17
140,georgetown,5.41,100.34,86.0,70,20,3.36
141,sanchazi,42.08,126.6,77.38,68,92,6.4
142,sarai mir,26.02,82.92,87.8,79,75,3.36
143,yichun,47.7,128.9,90.28,38,91,6.38
144,plainview,40.78,-73.47,75.79,84,14,9.98
145,comodoro rivadavia,-45.87,-67.5,51.8,50,0,26.4
146,nardaran,40.56,50.01,78.8,69,13,23.04
147,nagua,19.38,-69.85,78.53,89,88,5.91
148,ibra,22.69,58.53,88.75,50,28,2.28
149,ganzhou,28.82,115.43,91.76,59,66,10.36
150,talnakh,69.49,88.4,69.8,49,98,13.42
151,coahuayana,18.73,-103.68,79.68,75,95,2.48
152,sinnamary,5.38,-52.95,77.94,86,100,6.55
153,porto novo,6.5,2.6,75.2,94,40,9.17
154,havoysund,71.0,24.66,48.2,81,61,8.05
155,bjornevatn,69.67,29.98,46.4,100,100,6.93
156,narsaq,60.92,-46.05,48.2,70,99,4.7
157,charlestown,-32.95,151.67,64.72,49,53,3.0
158,trat,12.5,102.5,82.4,83,75,16.11
159,manado,1.49,124.85,77.0,94,40,4.7
160,trapani,37.83,12.67,77.27,68,0,4.7
161,sao joao da barra,-21.64,-41.05,67.44,71,1,3.69
162,saint-philippe,-21.36,55.77,64.94,72,90,9.17
163,haines junction,60.75,-137.51,61.66,53,47,8.57
164,kathmandu,27.72,85.32,78.8,78,75,3.36
165,norman wells,65.28,-126.83,82.4,42,75,2.24
166,brainerd,46.36,-94.2,69.48,56,1,10.29
167,yumen,40.28,97.2,81.95,13,72,18.39
168,straumen,63.87,11.3,56.93,93,25,3.36
169,camacha,33.08,-16.33,69.8,88,75,10.29
170,teya,60.38,92.63,66.38,64,94,2.35
171,vitim,59.45,112.56,78.53,38,0,14.16
172,antsohihy,-14.88,47.99,71.37,59,0,10.87
173,kavieng,-2.57,150.8,84.22,74,28,9.22
174,la esperanza,14.87,-91.57,51.01,86,15,5.82
175,clyde river,70.47,-68.59,39.2,100,75,3.36
176,nador,35.17,-2.93,88.27,30,31,14.99
177,keflavik,64.0,-22.56,48.87,100,75,6.93
178,faya,18.39,42.45,64.4,93,20,6.55
179,chokurdakh,70.63,147.92,60.89,52,93,5.59
180,le marin,14.47,-60.87,79.61,88,75,2.24
181,tasiilaq,65.61,-37.64,42.8,56,11,2.68
182,udachnyy,66.42,112.4,73.4,31,6,2.24
183,monrovia,6.3,-10.8,75.2,94,75,13.91
184,burnie,-41.07,145.92,55.0,58,100,10.0
185,kaitangata,-46.28,169.85,57.0,69,93,7.0
186,yamada,39.47,141.95,75.81,74,100,8.81
187,mackay,-21.15,149.2,72.45,64,26,18.34
188,lagoa,39.05,-27.98,70.74,71,3,8.05
189,bluff,-46.6,168.33,51.31,87,100,8.28
190,saint-georges,12.06,-61.75,82.4,83,20,9.17
191,naryan-mar,67.67,53.09,55.99,84,74,9.01
192,port hedland,-20.32,118.57,87.8,19,0,9.17
193,hithadhoo,-0.6,73.08,83.26,71,46,10.07
194,beringovskiy,63.05,179.32,50.13,81,100,13.09
195,codrington,-38.27,141.97,55.85,66,100,7.63
196,ilulissat,69.22,-51.1,44.6,93,44,1.12
197,coquimbo,-29.95,-71.34,50.0,87,5,6.93
198,grand baie,-20.02,57.58,69.01,83,64,8.01
199,kaabong,3.48,34.15,60.73,90,35,8.3
200,lazaro cardenas,17.96,-102.2,80.47,80,0,3.24
201,luanda,-8.84,13.23,69.8,88,75,3.36
202,rio gallegos,-51.62,-69.22,30.2,100,88,8.05
203,namatanai,-3.67,152.43,83.41,75,56,6.78
204,severo-kurilsk,50.68,156.12,55.24,82,95,6.71
205,hutang,31.53,119.48,97.0,55,100,4.56
206,namioka,40.71,140.59,79.77,78,75,9.17
207,mnogovershinnyy,53.94,139.92,50.11,100,100,6.89
208,san rafael del sur,11.85,-86.44,84.2,74,20,3.53
209,paamiut,61.99,-49.67,45.25,97,100,13.49
210,ribeira grande,38.52,-28.7,70.68,68,3,7.09
211,labuhan,-6.88,112.21,86.02,57,48,2.66
212,mount gambier,-37.83,140.77,59.0,58,75,9.17
213,pesca,5.55,-73.05,45.9,79,6,3.51
214,mount isa,-20.73,139.5,78.8,26,0,9.17
215,le port,-20.94,55.29,63.19,82,90,6.93
216,hobart,-42.88,147.33,56.59,41,75,19.46
217,dublin,37.7,-121.94,64.81,64,1,8.05
218,salalah,17.02,54.09,80.6,94,40,2.24
219,beisfjord,68.38,17.6,53.62,82,0,11.41
220,ust-tsilma,65.44,52.15,57.61,68,4,4.21
221,marawi,8.0,124.29,82.99,77,100,3.0
222,samana,19.21,-69.34,79.2,85,100,8.12
223,koronowo,53.31,17.94,52.5,93,13,2.24
224,ekimchan,53.07,132.97,57.76,81,100,4.34
225,carnarvon,-24.87,113.63,66.2,72,0,16.11
226,saint-denis,48.92,2.33,62.37,72,100,6.93
227,tabas,33.6,56.92,84.2,23,0,2.24
228,san pedro,14.35,121.02,83.44,86,100,1.01
229,aketi,2.74,23.78,71.53,97,100,2.44
230,moses lake,47.13,-119.28,82.09,39,1,5.82
231,mocuba,-16.84,36.99,60.31,92,65,4.54
232,hamilton,39.18,-84.53,71.71,94,40,6.93
233,san juan del sur,11.25,-85.87,79.66,88,66,2.68
234,katobu,-4.94,122.53,86.38,52,35,7.52
235,banjar,-8.19,114.97,82.4,69,40,12.75
236,provideniya,64.38,-173.3,49.41,60,16,10.36
237,andradas,-22.07,-46.57,56.77,72,0,4.76
238,bose,45.46,8.01,70.09,68,81,3.0
239,manzhouli,49.6,117.43,78.85,45,99,11.12
240,lockhart,28.62,-81.44,81.68,78,1,4.7
241,anadyr,64.75,177.48,55.18,71,40,6.71
242,bandarbeyla,9.49,50.81,81.21,58,88,29.21
243,buchach,49.06,25.39,57.0,77,0,3.0
244,pasni,25.26,63.47,84.42,81,88,8.57
245,tuktoyaktuk,69.45,-133.04,51.8,93,75,19.46
246,okha,53.57,142.95,52.84,95,100,14.97
247,puerto escondido,15.85,-97.07,82.08,80,5,6.04
248,ancud,-41.87,-73.82,42.94,93,40,9.17
249,lebu,-37.62,-73.65,50.27,94,62,10.33
250,port lincoln,-34.73,135.87,57.63,68,100,6.31
251,leningradskiy,69.38,178.42,41.56,76,96,5.84
252,kajaani,64.23,27.73,55.4,93,75,2.24
253,murray bridge,-35.12,139.27,62.35,82,91,1.99
254,rocha,-34.48,-54.33,51.42,85,100,8.88
255,tagusao,9.19,117.81,87.55,65,79,2.28
256,cobija,-11.03,-68.77,70.07,53,0,2.46
257,port-gentil,-0.72,8.78,73.92,81,100,10.29
258,te anau,-45.42,167.72,51.46,90,91,3.31
259,hami,42.8,93.45,87.82,12,16,3.8
260,pahrump,36.21,-115.98,91.99,5,0,4.0
261,fort frances,48.6,-93.4,60.37,63,1,4.7
262,umtata,-31.59,28.78,41.0,86,0,1.12
263,markova,48.68,24.41,50.0,93,0,3.29
264,saint-leu,-21.15,55.28,64.96,72,90,9.17
265,jalu,29.03,21.55,74.91,72,0,10.09
266,alice springs,-23.7,133.88,75.09,12,0,6.93
267,zaraza,9.35,-65.32,73.58,96,99,2.91
268,dingle,11.0,122.67,86.5,67,100,4.94
269,bodden town,19.28,-81.25,83.37,78,39,4.0
270,griffith,41.53,-87.42,64.53,93,90,7.7
271,coihaique,-45.58,-72.07,39.2,86,90,4.7
272,sao felix do xingu,-6.64,-51.99,68.56,55,15,1.57
273,santa rosa,14.31,121.11,83.52,72,100,4.0
274,goderich,43.75,-81.72,69.62,89,99,9.33
275,vila velha,-20.33,-40.29,66.2,93,90,2.24
276,rabo de peixe,37.8,-25.58,68.0,72,75,5.82
277,soyo,-6.13,12.37,72.75,79,97,4.72
278,cayenne,4.93,-52.33,75.2,100,97,5.82
279,saldanha,-33.01,17.94,48.2,76,0,6.93
280,santa ines,-3.67,-45.38,73.81,74,19,4.76
281,hasaki,35.73,140.83,87.31,62,20,8.05
282,slave lake,55.28,-114.77,73.4,64,1,12.75
283,christchurch,-43.53,172.63,55.51,71,100,6.93
284,kibakwe,-6.72,36.37,53.29,75,19,2.77
285,luderitz,-26.65,15.16,68.0,22,0,6.93
286,san andres,12.58,-81.7,82.4,83,20,4.7
287,pangnirtung,66.15,-65.71,45.82,80,98,1.19
288,san quintin,30.48,-115.95,72.95,75,1,4.09
289,union,40.63,-74.27,77.68,74,90,7.23
290,dudinka,69.41,86.18,69.8,49,100,13.42
291,florida,28.75,-82.5,78.75,69,1,5.17
292,madikeri,12.42,75.73,64.54,100,100,2.48
293,esperance,-33.87,121.9,57.2,67,100,16.11
294,takoradi,4.88,-1.76,73.18,82,55,7.58
295,lokomotivnyy,53.01,60.57,75.11,50,5,8.16
296,khash,28.22,61.22,85.59,39,0,2.46
297,mogok,22.92,96.5,79.57,77,100,2.24
298,mikkeli,61.69,27.27,53.01,92,95,1.99
299,jiuquan,39.74,98.52,82.02,13,43,12.73
300,betafo,-19.83,46.85,45.91,74,9,7.49
301,aitape,-3.14,142.35,79.81,83,92,5.53
302,alofi,-19.06,-169.92,75.2,64,100,13.87
303,yulara,-25.24,130.99,71.6,12,0,5.82
304,kvarkeno,52.08,59.73,78.13,36,0,7.78
305,salinopolis,-0.61,-47.36,78.85,81,78,8.9
306,chunhuhub,19.55,-88.68,76.1,98,35,3.0
307,dunedin,-45.87,170.5,55.99,67,81,10.0
308,nioro,13.35,-15.75,77.29,90,100,6.2
309,upernavik,72.79,-56.15,41.31,70,0,12.66
310,airai,-8.93,125.41,73.83,42,0,3.76
311,balkanabat,39.51,54.37,90.93,16,0,12.41
312,syumsi,57.11,51.61,62.13,92,100,13.94
313,loukhi,66.08,33.04,50.83,92,97,4.18
314,baruun-urt,46.68,113.28,68.81,56,57,14.12
315,miraflores,19.22,-98.81,64.2,63,90,3.36
316,gunjur,13.2,-16.73,77.0,94,75,10.65
317,wajima,37.4,136.9,84.2,66,75,4.7
318,buala,-8.14,159.59,83.55,72,54,2.71
319,acari,-15.43,-74.62,60.46,61,34,2.82
320,banfora,10.63,-4.77,70.38,96,47,3.98
321,mandera,3.94,41.87,74.93,62,0,15.57
322,tshikapa,-6.42,20.8,76.05,42,84,3.27
323,juneau,58.3,-134.42,62.78,68,75,13.87
324,sidney,-33.87,151.21,65.5,39,71,11.41
325,edd,13.93,41.69,88.34,61,24,1.86
326,cockburn town,21.46,-71.14,82.42,82,100,19.28
327,kizukuri,40.81,140.39,80.31,78,75,9.17
328,vung tau,10.35,107.08,83.34,80,84,20.04
329,mahon,39.89,4.27,78.8,74,0,17.22
330,biltine,14.53,20.92,76.93,80,100,7.54
331,ishigaki,24.34,124.16,82.4,94,75,16.11
332,morant bay,17.88,-76.41,81.95,79,20,13.87
333,raduzhnyy,62.1,77.47,70.09,65,29,8.21
334,san patricio,19.22,-104.7,82.06,73,100,2.93
335,hulan ergi,47.2,123.63,91.72,43,65,13.47
336,thayetmyo,19.32,95.18,88.75,68,79,4.7
337,acapulco,16.86,-99.89,82.09,78,82,6.55
338,port shepstone,-30.74,30.45,60.13,34,0,6.49
339,tautira,-17.73,-149.15,80.31,69,40,12.75
340,la libertad,-2.23,-80.9,69.8,94,75,11.41
341,raymond,43.9,-70.47,66.81,89,31,3.91
342,road town,18.42,-64.62,80.67,89,3,5.99
343,yar-sale,66.83,70.83,63.37,73,17,10.94
344,iwanai,42.97,140.51,81.09,59,100,3.0
345,eseka,3.65,10.77,71.92,95,100,2.86
346,chiredzi,-21.05,31.67,52.92,94,0,3.87
347,tigil,57.8,158.67,65.97,49,11,12.06
348,avera,33.19,-82.53,79.57,69,1,6.2
349,muzhi,65.37,64.67,62.53,74,0,5.64
350,komsomolskiy,40.43,71.72,82.4,30,0,2.24
351,chapais,49.78,-74.85,68.0,77,40,2.24
352,biak,-0.91,122.88,78.85,81,99,6.64
353,darhan,49.49,105.92,62.56,78,100,5.64
354,daru,-9.08,143.21,78.69,70,65,11.97
355,onokhoy,51.93,108.07,66.2,77,75,13.42
356,leh,34.17,77.58,63.01,37,1,6.02
357,banda aceh,5.56,95.32,84.49,69,100,12.3
358,alyangula,-13.85,136.42,82.4,51,75,9.17
359,sorland,67.67,12.69,57.58,80,1,10.2
360,fort nelson,58.81,-122.7,71.6,64,75,9.17
361,boyolangu,-8.12,111.89,80.04,62,41,9.46
362,datong,40.09,113.29,87.21,29,0,12.86
363,vila franca do campo,37.72,-25.43,68.0,72,75,5.82
364,akureyri,65.68,-18.09,50.0,93,90,1.92
365,ulladulla,-35.35,150.47,62.1,31,38,4.7
366,ust-barguzin,53.45,108.98,57.9,95,100,1.95
367,pampierstad,-27.78,24.69,40.62,64,0,4.12
368,zyryanovsk,49.74,84.27,71.83,51,0,2.51
369,cooma,-36.23,149.13,53.6,34,27,4.7
370,sfantu gheorghe,45.87,25.78,59.0,77,47,1.23
371,carballo,43.21,-8.69,59.49,93,57,2.24
372,shimoda,34.67,138.95,81.14,69,40,11.41
373,novonukutskiy,53.7,102.71,58.78,93,100,15.93
374,reguengos de monsaraz,38.43,-7.53,63.05,77,0,9.17
375,ocean city,39.28,-74.57,75.97,78,40,6.93
376,qinhuangdao,39.93,119.59,86.16,64,85,11.34
377,muskegon,43.3,-86.13,70.86,69,75,3.36
378,kargasok,59.06,80.86,72.59,70,59,6.33
379,auki,-8.77,160.7,82.58,77,52,1.68
380,kayseri,38.74,35.5,62.6,72,0,8.05
381,quanzhou,24.91,118.59,91.4,63,75,6.71
382,nago,26.59,127.98,88.81,70,40,18.34
383,medicine hat,50.05,-110.67,84.2,37,90,11.41
384,cherskiy,68.75,161.3,54.3,56,74,10.76
385,santa maria,-29.68,-53.81,60.31,90,0,4.85
386,north bend,43.41,-124.22,60.33,100,1,8.05
387,el alto,-4.27,-81.21,64.54,81,0,16.08
388,geraldton,-28.77,114.6,66.2,52,0,12.75
389,souillac,-20.52,57.52,68.0,94,75,11.41
390,la ronge,55.1,-105.28,66.2,72,5,3.71
391,namibe,-15.2,12.15,65.57,76,0,4.23
392,westport,41.14,-73.36,73.89,78,1,4.7
393,juiz de fora,-21.76,-43.35,54.75,93,33,1.92
394,lagos,6.58,3.75,75.2,94,20,2.24
395,half moon bay,37.46,-122.43,60.37,93,90,5.82
396,nelson bay,-32.72,152.15,66.63,52,27,8.05
397,tuatapere,-46.13,167.68,51.4,89,100,4.79
398,grindavik,63.84,-22.43,48.2,100,75,6.93
399,xining,36.62,101.77,75.0,39,97,6.78
400,kieta,-6.22,155.63,83.55,68,15,4.43
401,kalabo,-14.97,22.68,47.08,52,16,6.55
402,sambava,-14.27,50.17,70.88,79,70,16.4
403,wawa,9.9,4.42,73.08,87,96,7.87
404,manama,26.22,50.58,98.6,56,5,2.24
405,labuan,5.28,115.24,86.0,79,20,2.24
406,wexford,52.33,-6.46,53.94,85,0,7.61
407,kyren,51.68,102.14,61.59,74,100,2.93
408,boquira,-12.82,-42.73,62.89,70,0,5.66
409,bathsheba,13.22,-59.52,82.4,78,20,8.05
410,ogbomosho,8.13,4.25,68.13,97,100,5.68
411,longyearbyen,78.22,15.64,46.4,87,75,3.36
412,diu,20.71,70.98,86.2,75,99,5.61
413,shebalino,51.29,85.68,66.72,49,74,5.35
414,kalat,29.02,66.59,79.54,23,2,3.09
415,hare bay,48.85,-54.01,57.09,100,90,8.05
416,kirkuk,35.47,44.39,92.23,12,0,5.35
417,tabou,4.42,-7.35,74.28,83,89,9.22
418,ahipara,-35.17,173.17,56.98,90,100,14.99
419,byron bay,-28.65,153.62,69.69,60,75,6.93
420,isangel,-19.55,169.27,75.2,69,90,17.22
421,saint-joseph,-21.37,55.62,64.99,72,90,9.17
422,susuman,62.78,148.17,67.24,30,23,2.15
423,plattling,48.78,12.87,66.67,77,100,1.74
424,arenapolis,-14.45,-56.85,70.57,40,0,4.25
425,tocopilla,-22.09,-70.2,57.49,60,27,3.06
426,arroyo,41.61,-4.8,61.05,87,33,9.17
427,hastings,50.86,0.57,55.31,76,2,1.99
428,okhotsk,59.38,143.3,65.19,55,0,8.19
429,maniitsoq,65.42,-52.9,46.11,95,100,11.77
430,meulaboh,4.14,96.13,86.04,58,98,2.21
431,cartagena del chaira,1.33,-74.84,70.11,96,46,2.8
432,macau,22.2,113.55,81.34,94,40,8.05
433,svodin,47.91,18.5,60.44,82,0,4.38
434,victoria,22.29,114.16,82.65,88,100,11.99
435,dong xoai,11.53,106.92,79.81,92,100,10.18
436,zaysan,47.47,84.87,80.62,25,14,6.85
437,sioux lookout,50.1,-91.92,60.8,67,20,2.24
438,waipawa,-41.41,175.52,55.67,62,100,6.93
439,vila do maio,15.13,-23.22,78.8,88,40,4.7
440,brae,60.4,-1.35,53.6,93,94,8.05
441,russkiy aktash,55.04,52.12,64.4,88,75,20.13
442,kokstad,-30.55,29.42,47.07,46,0,5.26
443,lucapa,-8.42,20.74,65.95,45,95,5.77
444,birjand,32.87,59.22,71.6,26,0,9.17
445,ingham,42.6,-84.38,68.94,88,90,11.41
446,henties bay,-22.12,14.28,73.0,21,0,20.22
447,tilichiki,60.47,166.1,60.89,58,67,3.65
448,doha,25.29,51.53,94.19,71,14,4.7
449,makakilo city,21.35,-158.09,83.88,48,20,9.17
450,lorengau,-2.02,147.27,82.85,80,11,10.38
451,anan,33.92,134.65,84.2,79,75,8.05
452,synya,65.37,58.04,61.0,70,70,9.4
453,thanatpin,17.21,96.3,82.4,83,90,10.29
454,altagracia de orituco,9.86,-66.38,70.9,91,99,2.71
455,anqing,30.51,117.05,95.02,56,81,10.6
456,nome,64.5,-165.41,60.33,77,75,10.29
457,lahaina,20.88,-156.68,78.1,54,40,21.92
458,hereford,52.06,-2.71,50.25,91,17,5.5
459,san ramon de la nueva oran,-23.13,-64.33,65.26,51,0,1.97
460,manuk mangkaw,4.8,119.85,82.62,74,59,4.43
461,prainha,-1.8,-53.48,77.07,68,78,2.82
462,pacific grove,36.62,-121.92,57.2,97,0,6.55
463,tam ky,15.57,108.48,93.2,52,40,5.82
464,atasu,48.68,71.64,77.86,33,46,13.06
465,seshcha,53.74,33.34,54.9,88,100,9.8
466,norilsk,69.35,88.2,69.8,49,88,13.42
467,los teques,10.34,-67.04,61.32,98,89,2.57
468,san cristobal,7.77,-72.22,65.89,86,43,3.53
469,san ramon,37.78,-121.98,65.07,64,1,8.05
470,horta,38.53,-28.63,70.09,68,6,5.77
471,poum,-20.23,164.02,70.0,69,0,21.61
472,sawtell,-30.38,153.1,66.33,68,0,6.93
473,seoul,37.57,126.98,80.6,88,90,11.7
474,plettenberg bay,-34.05,23.37,69.73,24,1,11.56
475,oranjestad,12.52,-70.03,84.2,79,20,19.46
476,belmonte,-15.86,-38.88,68.0,88,75,5.82
477,bundaberg,-24.85,152.35,71.6,46,90,14.99
478,samarinda,-0.5,117.15,81.01,86,97,4.32
479,zhezkazgan,47.8,67.71,80.6,36,0,13.42
480,abonnema,4.71,6.79,72.55,90,100,5.41
481,narok,-1.08,35.86,55.4,85,65,8.68
482,muravlenko,63.79,74.52,66.54,61,0,13.02
483,necochea,-38.55,-58.74,50.0,91,73,8.01
484,talcahuano,-36.72,-73.12,51.8,100,90,4.7
485,san-pedro,4.75,-6.64,73.78,83,86,6.04
486,bismarck,46.81,-100.78,65.91,68,1,3.36
487,pinotepa de don luis,16.42,-97.92,71.69,99,66,1.36
488,mizan teferi,6.98,35.58,60.76,82,35,3.33
489,bonfim,3.08,-59.95,77.94,77,100,2.01
490,oga,46.46,10.35,55.56,100,40,1.12
491,bouca,6.51,18.27,70.02,97,100,2.86
492,bolobo,-2.17,16.23,76.87,60,100,2.08
493,nuuk,64.18,-51.72,46.4,100,100,4.7
494,baylo,7.85,126.06,86.86,65,90,4.09
495,fuxin,42.02,121.66,88.7,52,99,16.6
496,chernaya kholunitsa,58.85,51.72,56.53,98,100,10.56
497,havelock,34.88,-76.9,81.66,88,1,9.17
498,traverse city,44.76,-85.62,71.74,73,90,5.82
499,champoton,19.35,-90.72,84.34,74,31,12.57
